prefixes;name;memberId
10.54341;Francisk Skorina Gomel State University;32768
10.1370;Annals of Family Medicine;1
10.54339;LPPM Universitas Puangrimaggalatung;32769
10.15530, 10.1306;American Association of Petroleum Geologists AAPG/Datapages;2
10.54342;LPPM ITBis Lembah Dempo;32770
10.1119;American Association of Physics Teachers (AAPT);3
10.54340;Korea Society of Elementary Mathematics Education;32771
10.54338;National University of Architecture and Construction of Armenia;32773
10.1120;American College of Medical Physics (ACMP);6
10.54333;Kulutustutkimuksen seura;32775
10.54330;Finnish Mathematical Society;32776
10.1043;Allen Press;9
10.54332;Suomen Kriminologinen Yhdistys;32777
10.1001;American Medical Association (AMA);10
10.54334;Keskiajan tutkimuksen seura Glossa ry;32778
10.1257;American Economic Association;11
10.54329;Ammatillisen koulutuksen tutkimusseura OTTU;32779
10.1175;American Meteorological Society;12
10.54335;Kasvinsuojeluseura ry;32780
10.1029;American Geophysical Union (AGU);13
10.54331;Suomen Historiallinen Seura;32781
10.1090;American Mathematical Society (AMS);14
10.54345;STT Satyabhakti Malang;32782
10.1037;American Psychological Association (APA);15
10.54344;Instituto de Historia Uruguay;32783
10.29172, 10.1103;American Physical Society (APS);16
10.54393;CrossLinks International Publishers;32784
10.1166;American Scientific Publishers;17
10.54346;Center for Educational Research, Seoul National University;32785
10.1164, 10.34197, 10.1165, 10.1513;American Thoracic Society;19
10.54417;Jigme Namgyel Engineering College, Royal University of Bhutan, Bhutan;32787
10.1116;American Vacuum Society;20
10.54349;Central Institute of Aviation Motors;32788
10.1272;Medical Association of Nippon Medical School;21
10.1146, 10.5260;Annual Reviews;22
10.21019;American Pharmacists Association;23
10.54351;Chechen State Pedagogical University;32791
10.1152;American Physiological Society;24
10.54350;Institut Kesehatan Rajawali;32792
10.1239;Applied Probability Trust;25
10.1167;Association for Research in Vision and Ophthalmology (ARVO);27
10.1074, 10.1194;American Society for Biochemistry & Molecular Biology (ASBMB);28
10.1061;American Society of Civil Engineers (ASCE);30
10.1309;American Society for Clinical Pathology (ASCP);32
